nama_dosen,judul_penelitian,abstrak_penelitian,tahun_publikasi
"Mamluatul Hani'ah, S.Kom., M.Kom.",A Parallel Convolutional Neural Network Approach for Classifying Malang Batik Motifs with Image Augmentation Techniques,"Batik, a traditional textile art recognized by UNESCO as an Intangible Cultural Heritage, holds profound cultural and aesthetic values across Indonesia. To support cultural preservation through digital recognition, this study proposes a classification approach for Malang batik motifs using a parallel Convolutional Neural Network (CNN) architecture. A dataset of 622 images across 31 motif classes was collected directly from three Malang batik production centers and enriched using various augmentation techniques to overcome data scarcity. The proposed model employs two parallel convolutional branches with different kernel sizes to capture multi-scale visual features, followed by concatenation, global average pooling, and fully connected layers for final classification. Model training was performed using a 5-fold cross-validation scheme with the Adam optimizer and ELU activation function. The proposed parallel CNN architecture was designed to extract richer and more diverse feature representations, improving classification accuracy compared to conventional sequential CNN models. Experimental results demonstrated that augmentation significantly influenced performance, where geometric transformations such as rotation achieved stable accuracy above 90%. The highest performance was obtained using a combination of all augmentations, achieving 99.59% accuracy, 99.60% precision, 99.50% recall, and 99.50% F-measure. However, this improvement came with higher computational costs, as runtime and memory consumption were substantially increased compared to simpler augmentation strategies. These findings highlight a clear trade-off between accuracy and computational efficiency. Overall, the proposed method demonstrates the potential of parallel CNNs and augmentation in enhancing batik motif recognition.",2025
"Mamluatul Hani'ah, S.Kom., M.Kom.",An AIoT Architecture for Localized Weather Prediction Using CNN-LSTM and LoRaWAN to Support Fertilization Scheduling in Agriculture,"Agricultural productivity is heavily influenced by weather conditions, making accurate weather prediction essential for supporting decision-making in the farming sector. However, many agricultural areas, particularly in rural regions, lack reliable internet infrastructure and access to real-time meteorological data, limiting the ability of farmers to make timely and informed decisions. To address this issue, an integrated AIoT system was developed, combining a LoRaWAN-based wireless sensor network with a hybrid CNN-LSTM deep learning model for weather forecasting. The system utilizes environmental sensor data collected from a citrus farming field and transmits it via LoRaWAN, a low-power wide-area network protocol, to a centralized gateway without requiring internet access at the sensor node. The collected data, along with historical weather data from BMKG (Indonesian Meteorological Agency), was used to train the CNN-LSTM model. Various window sizes were tested to determine the optimal configuration for time-series weather prediction. Field testing demonstrated that the LoRaWAN protocol performed well under Line-of-Sight (LOS) conditions, with significantly better signal strength and SNR values compared to Non-Line-of-Sight (NLOS) scenarios. The CNN-LSTM model achieved consistent and stable predictions, especially with a 14-day window size, despite having slightly higher error metrics than longer windows. Validation with new data sets confirmed the model’s reliability and adaptability to unseen data. In conclusion, the proposed AIoT system presents a promising solution for delivering low-cost, low-power, and reliable weather forecasting in remote agricultural environments, supporting data-driven decision-making for farmers.",2025
"Mungki Astiningrum, ST., M.Kom.",Implementasi Clean Architecture pada Sistem Manajemen Tiket Penanganan Insiden,"Keamanan siber telah menjadi isu global yang semakin krusial seiring pesatnya perkembangan teknologi informasi. Laporan Badan Siber dan Sandi Negara (BSSN) mencatat lebih dari 888 juta serangan siber di Indonesia pada tahun 2021, menegaskan tingginya urgensi akan sistem manajemen insiden yang efektif, terstruktur, dan responsif. Penelitian ini bertujuan membangun sistem manajemen tiket insiden yang mengintegrasikan platform komunikasi populer, WhatsApp, sebagai jalur pelaporan otomatis, sekaligus menerapkan prinsip Clean Architecture untuk memastikan modularitas, fleksibilitas, serta kemudahan pengujian. Sistem dikembangkan menggunakan Golang pada backend untuk performa tinggi, pustaka Baileys (Node.js) untuk integrasi WhatsApp, MongoDB sebagai basis data, dan React (TypeScript) dengan dukungan WebSocket pada frontend. Metodologi pengembangan mencakup studi literatur, analisis kebutuhan, perancangan sistem, implementasi, serta pengujian. Hasil evaluasi menunjukkan bahwa unit test pada lapisan use case mencapai coverage 91,6%, melampaui standar minimal 80% untuk kestabilan logika bisnis. Integrasi WhatsApp memungkinkan pembuatan tiket otomatis dan notifikasi real-time, sehingga mempercepat eskalasi insiden. Sementara itu, pengujian User Acceptance Test (UAT) oleh tujuh responden menghasilkan skor rata-rata 90,61%, dengan aspek percepatan eskalasi mencapai 97,14%. Temuan ini membuktikan bahwa kombinasi Clean Architecture dan integrasi WhatsApp mampu menghasilkan sistem manajemen insiden yang modular, responsif, serta efektif dalam mendukung kebutuhan operasional keamanan siber modern dan siap untuk diadopsi di lingkungan industri.",2025
"Mungki Astiningrum, ST., M.Kom.",Implementasi Cledspure Untuk Meningkatkan Efisiensi Operasional Di Cleds Laundry,"Cleds Laundry mengalami kendala dalam pengelolaan data pelanggan, pencatatan transaksi, dan penyampaian informasi layanan yang masih dilakukan secara manual sehingga menimbulkan keterlambatan pelayanan dan ketidakakuratan data. Kegiatan pengabdian masyarakat ini bertujuan memberikan solusi digital melalui pengembangan dan implementasi sistem informasi CledsPure berbasis website untuk meningkatkan efisiensi operasional mitra. Metode pelaksanaan mencakup analisis kebutuhan, perancangan dan pengembangan sistem, pelatihan penggunaan, serta evaluasi fungsional dan survei kepuasan. Hasil penerapan menunjukkan bahwa sistem mampu mempercepat proses pencatatan pesanan, mengurangi kesalahan administrasi, serta meningkatkan aksesibilitas informasi melalui notifikasi otomatis. Survei kepuasan yang melibatkan berbagai peran pengguna menghasilkan nilai rata-rata 3, 96 dari skala 4, yang mengindikasikan penerimaan sangat baik terhadap kemudahan penggunaan, kejelasan tampilan, dan peningkatan kualitas layanan. Temuan ini menunjukkan bahwa digitalisasi melalui CledsPure memberikan dampak positif terhadap produktivitas dan profesionalitas layanan mitra. Kegiatan ini menegaskan pentingnya adopsi teknologi informasi bagi UMKM untuk meningkatkan daya saing dan membuka peluang pengembangan sistem lebih lanjut sesuai kebutuhan operasional di masa mendatang.",2025
"Mungki Astiningrum, ST., M.Kom.",A Parallel Convolutional Neural Network Approach for Classifying Malang Batik Motifs with Image Augmentation Techniques,"Batik, a traditional textile art recognized by UNESCO as an Intangible Cultural Heritage, holds profound cultural and aesthetic values across Indonesia. To support cultural preservation through digital recognition, this study proposes a classification approach for Malang batik motifs using a parallel Convolutional Neural Network (CNN) architecture. A dataset of 622 images across 31 motif classes was collected directly from three Malang batik production centers and enriched using various augmentation techniques to overcome data scarcity. The proposed model employs two parallel convolutional branches with different kernel sizes to capture multi-scale visual features, followed by concatenation, global average pooling, and fully connected layers for final classification. Model training was performed using a 5-fold cross-validation scheme with the Adam optimizer and ELU activation function. The proposed parallel CNN architecture was designed to extract richer and more diverse feature representations, improving classification accuracy compared to conventional sequential CNN models. Experimental results demonstrated that augmentation significantly influenced performance, where geometric transformations such as rotation achieved stable accuracy above 90%. The highest performance was obtained using a combination of all augmentations, achieving 99.59% accuracy, 99.60% precision, 99.50% recall, and 99.50% F-measure. However, this improvement came with higher computational costs, as runtime and memory consumption were substantially increased compared to simpler augmentation strategies. These findings highlight a clear trade-off between accuracy and computational efficiency. Overall, the proposed method demonstrates the potential of parallel CNNs and augmentation in enhancing batik motif recognition.",2025
"Mungki Astiningrum, ST., M.Kom.",Perancangan Dashboard Monitoring dan Evaluasi Data Mahasiswa Jurusan Teknologi Informasi menggunakan Metode Design Thinking,"Data is the most valuable commodity. Data management is not only a necessity but also a crucial foundation in responding to and optimizing the potential of an organization, including the Information Technology Department of Malang State Polytechnic. The Information Technology Department has a data volume continues to increase significantly, one related to student data. No system can display student data concisely, making the monitoring and evaluation process difficult, for such as accreditation. The development of a dashboard for monitoring and evaluating student data in the Information Technology Department is a strategic step to increase the effectiveness of data management. The dashboard provides a visualization interface that allows for fast and efficient data monitoring and analysis. This study uses the design thinking method. This approach is suitable because users are involved in ensuring that the dashboard is designed according to needs so that it can support data-based decision-making. The user acceptance test method aims to assess several parameters, including information, design, use, and user loyalty. The test results showed that 89% of respondents agreed that the dashboard was considered feasible and met the assessment criteria based on the parameters tested.",2025
"Mungki Astiningrum, ST., M.Kom.",Algoritma Dan Struktur Data Menggunakan Python,"Buku ini disusun sebagai panduan pembelajaran bagi mahasiswa, dosen, maupun praktisi yang ingin memahami konsep dasar hingga lanjutan dalam algoritma dan struktur data, serta implementasinya menggunakan bahasa pemrograman Python. Pemilihan Python sebagai bahasa pengantar didasarkan pada sintaksnya yang sederhana namun kuat, sehingga sangat cocok digunakan dalam proses pembelajaran logika dan struktur data. Materi yang dibahas dalam buku ini mencakup pengantar algoritma, tipe data dan struktur data dasar (seperti list, tuple, dictionary, dan set), algoritma pencarian dan pengurutan, rekursi, stack, queue, linked list, hingga konsep hashing dan graf. Setiap bab dilengkapi dengan contoh program Python dan studi kasus sederhana, khususnya dalam konteks aplikasi akademik dan data mahasiswa, agar pembaca dapat langsung memahami penerapannya dalam dunia nyata.",2025
"Prof. Dr. Eng. Rosa Andrie Asmara, ST., MT.",Single-input and multi-input local binary pattern classification,"Identification and classification of species are crucial for maintaining genetic diversity and supporting sustainable agricultural practices. The Toraja Buffalo, a unique type of buffalo in Indonesia, holds high cultural and economic value. Accurate classification of this species is essential to preserving genetic resources and improving breeding programs. Previous studies using single classification methods have shown limitations in complex cases such as the Toraja Buffalo, which has numerous physiological characteristics such as body size, head, horns, tail, and eyes. The purpose of this study is to evaluate and compare the performance of single-classification and multi-category methods for identifying Toraja Buffalo. Several algorithms, including K-Nearest Neighbors (K-NN), Random Forest, Support Vector Machine (SVM), and Naive Bayes, were tested using Local Binary Pattern (LBP) for feature extraction. Decision Tree and others were observed, showing 85.83% accuracy in single-input, while multi-input accuracy reached 92.08%. The multi-input approach consistently improved performance across all algorithms. Multi-input classifiers significantly outperformed single-feature methods, with Random Forest being the most efficient algorithm. Future research could incorporate additional variables such as skin color or genetic profiles to further enhance accuracy.",2026
"Prof. Dr. Eng. Rosa Andrie Asmara, ST., MT.",Integrasi Mekanisme Portion-Based Balancing dalam Pengelolaan Pembimbing dan Penguji Skripsi di Sistem Manajemen Tugas Akhir Jurusan Teknologi Informasi,"Sistem Manajemen Tugas Akhir (SIMTA) di Jurusan Teknologi Informasi berperan penting dalam pengelolaan tugas akhir atau skripsi mahasiswa. Seiring dengan peningkatan jumlah mahasiswa, distribusi beban kerja dosen pembimbing dan penguji menjadi tantangan yang semakin kompleks. Artikel ini mengusulkan integrasi mekanisme Portion-Based Balancing dalam fitur pengusulan pembimbing dan penguji skripsi untuk meningkatkan keadilan dan efisiensi distribusi beban kerja dosen. Penelitian ini menggunakan pendekatan kuasi-eksperimen dengan pengujian sistem pada beberapa skenario pembagian beban kerja. Hasilnya menunjukkan bahwa mekanisme yang diusulkan tidak hanya meningkatkan pemerataan beban kerja, tetapi juga memperbaiki transparansi dan akurasi dalam proses pengusulan. Integrasi ini diharapkan dapat diterapkan lebih luas di institusi pendidikan lain untuk meningkatkan kualitas bimbingan dan penilaian tugas akhir.",2026
"Prof. Dr. Eng. Rosa Andrie Asmara, ST., MT.",Digital Presence System UI/UX Optimization Using User Design Thinking,"Information technology is essential in increasing the effectiveness and efficiency of various jobs. One of its applications is creating a UI/UX-based digital attendance system for mobile applications and websites that use facial recognition technology. This digital attendance system will provide a unique code to join the company, a summary of attendance reports, and settings for each employee's attendance number. The user interface (UI) is designed to be easy to use, while a good user experience (UX) will keep users comfortable using the application. Poor UI/UX design, on the other hand, can make users feel uncomfortable and leave the application. The UI/UX design process for this digital attendance system was done using the Figma application and the Design Thinking method. This method consists of five stages: empathize (recognizing user needs), define (defining problems), ideate (generating creative ideas), prototype (making prototypes), and test (testing). The results of the study showed that Figma was influential in helping the design process of an attractive and easy-to-use interface for this digital attendance system.",2025
"Prof. Dr. Eng. Rosa Andrie Asmara, ST., MT.",ESP32-CAM Based Smartdoor with Cloud Services Face Recognition,"Technological advancements have made robust security systems essential, especially for sensitive facilities like server rooms, which house critical services and data. These spaces are typically restricted to authorized individuals, but conventional locks often prove inadequate due to risks of damage and duplication. Digital technology offers a more secure solution through biometric systems to address these challenges. Facial recognition, known for its high accuracy and resistance to manipulation, is key in enhancing security. This research utilizes the DeepFace library, which integrates pre-trained models like VGG-FACE and FaceNet, significantly improving system efficiency by reducing training time. Testing showed that DeepID with the OpenCV backend achieved the fastest encoding time, while VGG-FACE with MTCNN provided the highest accuracy. Encoding times ranged from 66.8 to 114.2 seconds, with accuracy varying from 18% to 90%, and optimal results were achieved at a 30cm distance. These findings provide valuable insights for implementing effective facial recognition systems.",2025
"Prof. Dr. Eng. Rosa Andrie Asmara, ST., MT.",Behavior-Aware Argumentation: Integrating Toulmin’s Model for Adaptive Learning in Digital Environments,"This study investigates an adaptive learning mechanism within Viat‑map, a learning tool based on Toulmin’s Argument Model, to address engagement challenges among struggling and gaming students. In addition to scoring correctness, the system monitors two key behavioral indicators: the number of steps taken and the time spent on tasks. These indicators are used to tailor the number of multiple‑choice options, reducing them for overloaded learners and increasing them for those who may be guessing strategically. In a controlled experiment with sophomore EFL students, pre‑and post‑tests, ANCOVA, and effect size analyses showed significant gains for struggling learners, while high performers benefited less. Findings highlight the value of behavior‑aware analytics in optimizing educational technologies, and offer insight into refining personalized learning algorithms.",2025
"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Implementasi Metode Algoritma Genetika untuk Penerapan Optimasi Rute Pengantaran Paket di PT POS Cabang Utama Malang,"Pada era digitalisasi, industri logistik dituntut untuk meningkatkan efisiensi operasional guna memenuhi kebutuhan pelanggan e-commerce yang semakin berkembang. PT POS Indonesia Cabang Utama Malang menghadapi kendala dalam proses distribusi barang ke Kantor Cabang Pembantu (KCP) yang tersebar di berbagai wilayah Kabupaten Malang. Penentuan rute pengantaran yang masih dilakukan secara manual tanpa pendekatan sistematis menyebabkan jarak tempuh tidak optimal dan waktu pengiriman menjadi lebih lama. Penelitian ini bertujuan mengembangkan sistem optimasi rute distribusi berbasis web menggunakan Algoritma Genetika untuk meningkatkan efisiensi operasional. Metode penelitian yang digunakan ialah Prototype dengan tahapan analisis kebutuhan, perancangan, evaluasi, pengkodean, pengujian, dan implementasi sistem. Algoritma Genetika diterapkan dengan parameter optimal meliputi populasi 80 individu, 2000 generasi, crossover rate 0,2, dan mutation rate 0,8. Sistem dibangun menggunakan framework Laravel dan basis data MySQL, kemudian diuji melalui blackbox testing dan User Acceptance Testing (UAT). Hasil menunjukkan seluruh fitur utama berjalan baik dengan tingkat keberhasilan 100% pada blackbox testing. Evaluasi UAT memperoleh nilai rata-rata 91,2%, mencakup aspek kegunaan, keandalan, dan relevansi hasil optimasi. Sistem yang dihasilkan mampu memberikan solusi sistematis terhadap permasalahan distribusi dan berkontribusi pada peningkatan efisiensi operasional PT POS Indonesia Cabang Utama Malang.",2026
"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Programming Assessment in E-Learning through Rule-Based Automatic Question Generation with Large Language Models,"This study develops an evaluation instrument for Python programming using a Rule-Based Automatic Question Generation (AQG) system integrated with Large Language Models (LLMs), designed based on the Revised Bloom’s Taxonomy. The urgency of this research stems from the limitations of conventional programming evaluations, which are often time-consuming, less objective, and insufficiently aligned with cognitive learning levels. The proposed method applies assessment terms as rule-based constraints to guide LLM-generated questions, ensuring both pedagogical validity and structural consistency in JSON format. A total of 91 questions were produced, consisting of multiple-choice and coding items, which were then validated by three programming experts and tested on 32 vocational students. The findings indicate that the instrument achieved an overall validity of 77.66% (valid category), with the highest accuracy at the Apply (96.30%) and Create (100%) levels. The reliability test using Cronbach’s Alpha yielded 0.721, showing acceptable internal consistency. Item difficulty analysis revealed a strong dominance of easy questions (97.78%), with only 2.22% classified as moderate and none as difficult. Student performance also showed a fluctuating pattern: high in Remember (94.79%), Understand (95.83%), and Create (95.60%), but lower in Apply (86.11%), Analyze (90.97%), and Evaluate (87.15%). These results confirm that integrating Rule-Based AQG with LLMs can produce valid, reliable, and adaptive evaluation instruments that not only capture basic programming competencies but also partially address higher-order cognitive skills. This research contributes both practically by providing educators with an efficient tool for generating evaluation items and academically by enriching the growing body of literature on AI-assisted assessment in programming education.",2025
"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Optimalisasi Keamanan Lingkungan Kencana Residence menggunakan Aplikasi berbasis IoT Terintegrasi,"Kencana Residence di Desa Ngijo, Kabupaten Malang, menghadapi permasalahan meningkatnya tindak kriminalitas, minimnya sistem pemantauan di akses utama, serta kurangnya pengawasan area publik. Kondisi ini menimbulkan rasa tidak aman bagi warga. Kegiatan pengabdian kepada masyarakat ini bertujuan mengoptimalkan sistem keamanan lingkungan dengan penerapan teknologi Internet of Things (IoT). Metode pelaksanaan meliputi analisis kebutuhan, perancangan sistem, pengadaan perangkat, instalasi, serta pelatihan penggunaan aplikasi monitoring bagi warga. Hasil kegiatan berupa pemasangan empat unit CCTV IP berbasis IoT di titik strategis, aplikasi pemantauan real-time, dan peningkatan partisipasi warga dalam menjaga keamanan. Dampak yang dicapai meliputi meningkatnya rasa aman warga, efektivitas kerja petugas keamanan, serta terbentuknya budaya kolektif menjaga lingkungan. Program ini terbukti meningkatkan kualitas keamanan dan dapat direplikasi pada kawasan hunian lain.",2025
"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Integrating Multi-Scenario Preprocessing and Data Augmentation with BiLSTM for Robust Agricultural Weather Forecasting,"Crop yields are strongly affected by weather factors including temperature, humidity, rainfall, and wind, which play critical roles in plant development, irrigation management, and harvest outcomes. Reliable weather forecasting is thus crucial for enabling data-driven horticultural decisions and minimizing production risks. Conventional prediction techniques often struggle with non-stationary and multivariate time-series data and typically rely on a single preprocessing or feature engineering method. This study proposes a comprehensive framework integrating multiscenario preprocessing, scaling, and data augmentation with Bidirectional Long Short-Term Memory (BiLSTM) modeling to predict daily weather parameters. Preprocessing strategies include interpolation, mean, median, and k-nearest neighbors (KNN) imputation, while scaling methods involve Min-Max and Standard normalization. Data augmentation techniques such as sliding windows, Gaussian noise injections, and seasonal encoding are applied to enhance temporal pattern learning and model generalization. The framework evaluates multiple combinations of imputation, scaling, and augmentation strategies to identify optimal pipelines for each weather parameter. Results show that the best scenario, which combines Median imputation, Min-Max scaling, and Seasonal augmentation with a window size of 7, achieves the lowest RMSE of 0.0833 for temperature and an R2 of 0.5151, indicating substantial variance explained. Wind speed also shows robust performance under similar preprocessing, whereas rainfall and relative humidity remain challenging to forecast due to high variability. The findings highlight the importance of systematic preprocessing and augmentation for improving predictive accuracy. This framework provides a robust and adaptive tool for supporting precision agriculture, enabling more informed management decisions amid varying weather conditions.",2025
"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Weather Prediction and Classification for Citrus Farming Using Support Vector Regression (SVR) and Classification and Regression Tree (CART),"Accurate weather information is crucial for agricultural planning, yet farmers in developing regions often face limitations due to the lack of localized and reliable forecasting tools. Existing forecasts are typically broad in scale and short-term in nature, making them less effective for guiding crop management decisions at the farm level. In citrus farming, where productivity is highly dependent on microclimatic factors, the lack of precise predictive systems increases the risk of yield reduction and inefficient resource allocation. To overcome these challenges, this study developed a weather prediction and classification system that integrates machine learning techniques with historical meteorological data from the Indonesian Meteorological, Climatological, and Geophysical Agency (BMKG). Support Vector Regression (SVR) was applied to predict four essential weather parameters, including relative humidity, average temperature, rainfall, and sunshine duration, while Classification and Regression Tree (CART) was employed to classify conditions into “favorable” and “unfavorable.” The methodology involved systematic data preprocessing, including parameter selection, imputation of missing values, augmentation via smoothing, normalization, and hyperparameter optimization, followed by functional testing to ensure usability. The experimental evaluation showed that SVR achieved strong predictive performance with RMSE values of 2.06 (RH_avg), 0.27 (Tavg), 4.53 (RR), and 0.68 (ss). CART provided excellent classification results with an accuracy of 0.9854, precision of 0.9855, recall of 0.9911, and an F1-score of 0.9882. These results demonstrate that the proposed system is both accurate and reliable, offering a practical decision-support tool to help farmers optimize citrus crop management under varying weather conditions.",2025
"Dimas Wahyu Wibowo, ST., MT.",Evaluasi User Experience Aplikasi Virtual Reality Ikatan Kovalen Menggunakan UEQ,"Penelitian ini bertujuan untuk mengevaluasi pengalaman pengguna (user experience) aplikasi pembelajaran kimia berbasis Virtual Reality (VR) bernama Chemulation yang dikembangkan untuk membantu pemahaman konsep ikatan kovalen. Pemanfaatan teknologi VR dalam pembelajaran diharapkan dapat meningkatkan keterlibatan dan minat belajar siswa melalui visualisasi konsep abstrak yang sulit dipahami dengan metode pembelajaran konvensional. Evaluasi pengalaman pengguna dilakukan menggunakan instrumen User Experience Questionnaire (UEQ) yang mencakup enam skala, yaitu daya tarik, kejelasan, efisiensi, ketergantungan, stimulasi, dan kebaruan. Penelitian ini melibatkan 104 responden yang terdiri dari siswa kelas XI SMAN 8 Malang dan pengunjung EXPO Hasil Karya Project Based Learning (PBL). Pemilihan responden dari dua latar belakang berbeda bertujuan untuk memperoleh gambaran pengalaman pengguna yang lebih beragam. Responden diminta mencoba aplikasi Chemulation selama 10–15 menit sebelum mengisi kuesioner UEQ. Data yang diperoleh dianalisis menggunakan UEQ Data Analysis Tool serta uji reliabilitas Cronbach’s Alpha. Hasil uji reliabilitas menunjukkan nilai Alpha memenuhi kriteria reliabel, sehingga instrumen dinilai konsisten dalam mengukur pengalaman pengguna. Hasil evaluasi menunjukkan seluruh skala UEQ memperoleh skor positif dan termasuk kategori Excellent berdasarkan benchmark UEQ global. Skala stimulasi memperoleh skor tertinggi sebesar (2,481) dengan varians terendah sebesar (0,42), yang menunjukkan konsistensi aplikasi dalam membangkitkan motivasi belajar pengguna. Sementara itu, skala kebaruan memperoleh skor terendah sebesar (1,901) dengan varians tertinggi sebesar (0,77), yang mengindikasikan perbedaan persepsi pengguna terhadap tingkat inovasi aplikasi. Secara keseluruhan, penelitian ini menunjukkan bahwa Chemulation berhasil memberikan pengalaman belajar yang positif dan menyenangkan, serta memberikan arahan pengembangan lebih lanjut pada aspek inovasi dan kejelasan.",2026
"Dimas Wahyu Wibowo, ST., MT.",IMPLEMENTASI TEKNOLOGI IMMERSIVE DALAM PENGEMBANGAN MEDIA EDUKASI UNTUK PEMBELAJARAN IBADAH SHOLAT DALAM KEADAAN DARURAT,"Perkembangan teknologi immersive saat ini memberikan peluang baru dalam pengembangan media edukasi interaktif, khususnya dalam bidang pembelajaran ibadah. Penelitian ini bertujuan untuk merancang dan mengembangkan aplikasi edukasi berbasis Virtual Reality (VR) yang membantu pengguna Muslim mempelajari dan mempraktikkan Sholat dalam keadaan darurat, seperti sholat saat sakit berbaring atau di dalam kendaraan. Pengembangan aplikasi dilakukan menggunakan model ADDIE (Analysis, Design, Development, Implementation, Evaluation) dengan memanfaatkan perangkat Meta Quest 3 dan Unity 3D sebagai platform utama. Fitur utama dalam aplikasi ini meliputi panduan visual dan audio, simulasi avatar 3D untuk gerakan sholat, serta modul belajar interaktif yang memungkinkan pengguna mempelajari langkah-langkah ibadah secara mandiri. Pengujian fungsionalitas dilakukan untuk memastikan seluruh fitur berjalan dengan baik, mulai dari navigasi menu, transisi antar scene, pemutaran audio. Selain itu, pengujian pengalaman pengguna (User Experience) direncanakan menggunakan instrumen User Experience Questionnaire (UEQ) yang berfokus pada tiga aspek utama, yaitu Dependability (keandalan sistem), Perspicuity (kemudahan dipahami), dan Attractiveness (daya tarik). Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata dalam pengembangan media edukasi berbasis immersive, khususnya dalam pembelajaran ibadah Sholat dalam kondisi khusus secara interaktif, praktis, dan mudah diakses oleh masyarakat Muslim",2026
"Dimas Wahyu Wibowo, ST., MT.",ANALISIS PROSES PEMBELAJARAN MATEMATIKA BERBASIS MASALAH TERHADAP KEMAMPUAN PEMECAHAN MASALAH SISWA SMA SWASTA IMELDA,"Penelitian ini bertujuan menganalisis proses penerapan pembelajaran berbasis masalah (Problem Based Learning/PBL) dalam pembelajaran matematika serta keterkaitannya dengan kemampuan pemecahan masalah siswa di SMA Swasta Imelda. Penelitian menggunakan pendekatan deskriptif kualitatif dengan desain studi kasus. Data dikumpulkan melalui observasi, wawancara, dan dokumentasi selama pelaksanaan pembelajaran PBL pada siswa kelas XI. Hasil penelitian menunjukkan bahwa guru mulai menerapkan unsur-unsur utama PBL, seperti penyajian masalah kontekstual, kerja kelompok, dan aktivitas penyelidikan, dengan ceramah sebagai metode pendukung. Penerapan PBL memberikan kontribusi positif terhadap kemampuan pemecahan masalah siswa, yang terlihat dari peningkatan kemampuan memahami masalah, merancang strategi, dan menyelesaikan langkah-langkah penyelesaian. Data kuantitatif berupa perbandingan hasil pretest dan posttest hanya digunakan sebagai pendukung temuan kualitatif. Penelitian ini menyimpulkan bahwa PBL dapat menjadi pendekatan yang efektif untuk mengembangkan kemampuan berpikir tingkat tinggi siswa dalam pembelajaran matematika.",2025
"Dimas Wahyu Wibowo, ST., MT.",IMPLEMENTASI MEDIA PEMBELAJARAN IKATAN KOVALEN KIMIA MENGGUNAKAN OCULUS QUEST,"Pembelajaran teori pada Teknik Kimia Politeknik Negeri Malang masih menggunakan media pembelajaran konvensional seperti PowerPoint slide atau e-book. Oleh karena itu, dilakukanlah pengembangan aplikasi yang bertujuan untuk merancang dan mengembangkan media pembelajaran interaktif menggunakan teknologi Virtual Reality (VR) guna meningkatkan pemahaman mahasiswa tentang ikatan kovalen kimia dengan Metode pengembangan bernama ADDIE. Platform yang digunakan adalah Unity 3D dan aplikasi akan dibangun ke perangkat Oculus Quest 2 sebagai fokus utama. Landasan dari perancangan sistem ini adalah perspektif pembelajaran kognitif, dengan penekanan pada perhatian, pemetaan informasi, dan pengambilan informasi. Media pembelajaran yang dikembangkan memadukan elemen pemecahan masalah yang mendorong mahasiswa untuk membentuk ikatan kovalen dengan menggabungkan atom menjadi molekul dan tersedianya informasi atom untuk pemetaan informasi mahasiswa tersebut. Untuk mengevaluasi efektivitas media pembelajaran berbasis VR ini, dilakukan uji pre-test dan post-test. Hasil pengujian terhadap 21 mahasiswa yang menggunakan aplikasi menunjukkan selisih rata-rata nilai pre-test dan post-test sebesar 23,81. Sementara itu, pada 21 mahasiswa lain tanpa menggunakan aplikasi, selisih rata-rata nilai hanya sebesar 20,5. Dari hasil penelitian yang dianalisis, menghasilkan nilai yang dapat diartikan bahwa aplikasi berdampak positif terhadap pemahaman mahasiswa tentang ikatan kovalen kimia.",2025
"Dimas Wahyu Wibowo, ST., MT.",SISTEM REKOMENDASI WISATA PANTAI DI MALANG MENGGUNAKAN METODE VIKOR DAN ROC BERBASIS WEB,"Penelitian ini bertujuan mengembangkan sebuah sistem rekomendasi wisata pantai berbasis web di Kabupaten Malang, yang memiliki kontribusi signifikan terhadap ekonomi lokal, dengan sekitar 27% kunjungan ke objek wisata pantai. Permasalahan utama yang dihadapi adalah kurangnya informasi akurat dan terorganisir bagi pengunjung baru mengenai pilihan pantai yang sesuai dengan preferensi mereka. Dalam penelitian ini memanfaatkan metode VIKOR (VlseKriterijumska Optimizacija I Kompromisno Resenje) dan ROC (Rank Order Centroid) untuk memberikan rekomendasi yang lebih tepat. Metode VIKOR digunakan dalam menentukan peringkat pantai berdasarkan kriteria yang sudah ditetapkan, seperti biaya masuk, keamanan, waktu operasional, fasilitas, dan kebersihan. Sementara itu, metode ROC berfungsi memberikan nilai bobot pada setiap kriteria berdasarkan prioritas yang dinilai. Hasil penelitian menunjukkan bahwa sistem yang dikembangkan memiliki kemampuan untuk memberikan hasil rekomendasi yang akurat dan relevan, dengan  tingkat akurasi mencapai 60% dibandingkan dengan rekomendasi dari biro pariwisata lokal. Pantai Sendang Biru  memperoleh nilai terendah dengan hasil -0,420, menjadikannya sebagai rekomendasi terbaik menurut perhitungan metode VIKOR dan ROC. Selain itu, pengujian usabilitas sistem memperoleh nilai 80,6%, yang menunjukkan bahwa sistem ini mudah digunakan dan memenuhi kebutuhan pengguna. Diharapkan, penelitian ini dapat berkontribusi positif dalam pengembangan pariwisata di Malang dan meningkatkan pengalaman wisatawan.",2025
"Adevian Fairuz Pratama, S.S.T, M.Eng",Machine Learning for Vocational Undergraduate Student,"This book is compiled to guide the polytechnic student to understand Machine Learning (ML). This book covers several theories and guidances to practice and analyze some methodologies in Machine Learning such as Regression, Decision Tree, Support Vector Machine, etc. Hopefully, students may have several basic knowledge to develop any ML models.",2023
